date,cases,deaths,hospitalcritical
08/01/2020,0,0,0
09/01/2020,0,0,0
10/01/2020,0,0,0
11/01/2020,0,0,0
12/01/2020,0,0,0
13/01/2020,0,0,0
14/01/2020,0,0,0
15/01/2020,0,0,0
16/01/2020,0,0,0
17/01/2020,0,0,0
18/01/2020,0,0,0
19/01/2020,0,0,0
20/01/2020,0,0,0
21/01/2020,0,0,0
22/01/2020,0,0,0
23/01/2020,2,0,0
24/01/2020,5,0,0
25/01/2020,5,0,0
26/01/2020,8,0,0
27/01/2020,8,0,0
28/01/2020,8,0,0
29/01/2020,10,0,0
30/01/2020,12,0,0
31/01/2020,13,0,0
01/02/2020,14,0,0
02/02/2020,15,0,0
03/02/2020,15,0,0
04/02/2020,18,1,0
05/02/2020,21,1,0
06/02/2020,24,1,0
07/02/2020,26,1,0
08/02/2020,26,1,0
09/02/2020,36,1,0
10/02/2020,42,1,0
11/02/2020,49,1,0
12/02/2020,50,1,0
13/02/2020,53,1,0
14/02/2020,56,1,0
15/02/2020,56,1,0
16/02/2020,57,1,0
17/02/2020,60,1,0
18/02/2020,61,1,0
19/02/2020,63,2,0
20/02/2020,67,2,0
21/02/2020,68,2,0
22/02/2020,68,2,0
23/02/2020,74,2,0
24/02/2020,77,2,0
25/02/2020,85,2,0
26/02/2020,91,2,0
27/02/2020,92,2,0
28/02/2020,94,2,0
29/02/2020,94,2,0
01/03/2020,97,2,0
02/03/2020,99,2,0
03/03/2020,100,2,0
04/03/2020,103,2,0
05/03/2020,104,2,0
06/03/2020,106,2,0
07/03/2020,108,2,0
08/03/2020,113,3,0
09/03/2020,115,3,0
10/03/2020,117,3,0
11/03/2020,129,3,0
12/03/2020,130,3,0
13/03/2020,132,4,0
14/03/2020,139,4,0
15/03/2020,147,4,0
16/03/2020,156,4,0
17/03/2020,164,4,0
18/03/2020,184,4,0
19/03/2020,206,4,0
20/03/2020,250,4,0
21/03/2020,273,4,0
22/03/2020,317,4,0
23/03/2020,351,4,0
24/03/2020,382,4,0
25/03/2020,407,4,0
26/03/2020,452,4,0
27/03/2020,494,4,0
28/03/2020,526,4,0
29/03/2020,577,4,0
30/03/2020,623,4,0
31/03/2020,680,4,0
01/04/2020,737,4,0
02/04/2020,784,4,0
03/04/2020,831,4,0
04/04/2020,853,4,0
05/04/2020,882,4,0
06/04/2020,914,4,12
07/04/2020,935,4,14
08/04/2020,960,4,14
09/04/2020,973,4,14
10/04/2020,989,4,15
11/04/2020,1000,4,14
12/04/2020,1004,4,13
13/04/2020,1009,4,13
14/04/2020,1012,4,13
15/04/2020,1016,4,10
16/04/2020,1017,4,9
17/04/2020,1021,4,9
18/04/2020,1023,4,9
19/04/2020,1025,4,8
20/04/2020,1025,4,8
21/04/2020,1029,4,8
22/04/2020,1033,4,8
23/04/2020,1035,4,9
24/04/2020,1035,4,7
25/04/2020,1037,4,4
26/04/2020,1037,4,4
27/04/2020,1037,4,4
28/04/2020,1037,4,4
29/04/2020,1037,4,4
30/04/2020,1037,4,4
01/05/2020,1039,4,4
02/05/2020,1039,4,4
03/05/2020,1039,4,3
04/05/2020,1040,4,1
05/05/2020,1040,4,1
06/05/2020,1040,4,2
07/05/2020,1044,4,1
08/05/2020,1044,4,1
09/05/2020,1044,4,1
10/05/2020,1047,4,1
11/05/2020,1047,4,1
12/05/2020,1047,4,1
13/05/2020,1050,4,1
14/05/2020,1051,4,1
15/05/2020,1052,4,1
16/05/2020,1052,4,1
17/05/2020,1055,4,1
18/05/2020,1055,4,1
19/05/2020,1055,4,1
20/05/2020,1055,4,1
21/05/2020,1063,4,1
22/05/2020,1065,4,1
23/05/2020,1065,4,1
24/05/2020,1065,4,1
25/05/2020,1065,4,0
26/05/2020,1065,4,1
27/05/2020,1066,4,1
28/05/2020,1066,4,1
29/05/2020,1079,4,1
30/05/2020,1082,4,1
31/05/2020,1084,4,2
01/06/2020,1087,4,2
02/06/2020,1093,4,2
03/06/2020,1093,4,2
04/06/2020,1099,4,2
05/06/2020,1102,4,2
06/06/2020,1105,4,2
07/06/2020,1106,4,2
08/06/2020,1107,4,3
09/06/2020,1107,4,3
10/06/2020,1107,4,4
11/06/2020,1107,4,4
12/06/2020,1108,4,3
13/06/2020,1109,4,3
14/06/2020,1109,4,3
15/06/2020,1112,4,3
16/06/2020,1112,4,3
17/06/2020,1120,4,3
18/06/2020,1124,4,3
19/06/2020,1127,4,3
20/06/2020,1128,4,3
21/06/2020,1131,5,2
22/06/2020,1161,5,2
23/06/2020,1177,6,1
24/06/2020,1179,6,1
25/06/2020,1193,7,1
26/06/2020,1196,7,1
27/06/2020,1197,7,1
28/06/2020,1199,7,1
29/06/2020,1203,7,1
30/06/2020,1205,7,1
01/07/2020,1233,7,1
02/07/2020,1242,7,1
03/07/2020,1247,7,1
04/07/2020,1258,7,1
05/07/2020,1268,7,1
06/07/2020,1285,7,1
07/07/2020,1299,7,1
08/07/2020,1323,7,1
09/07/2020,1365,7,2
10/07/2020,1403,7,2
11/07/2020,1431,7,2
12/07/2020,1469,7,4
13/07/2020,1521,7,5
14/07/2020,1569,8,6
15/07/2020,1588,8,7
16/07/2020,1655,10,6
17/07/2020,1713,10,8
18/07/2020,1777,12,13
19/07/2020,1885,12,19
20/07/2020,1958,12,23
21/07/2020,2018,14,29
22/07/2020,2131,14,29
23/07/2020,2249,15,33
24/07/2020,2372,16,34
25/07/2020,2505,18,37
26/07/2020,2633,18,40
27/07/2020,2778,22,38
28/07/2020,2884,22,39
29/07/2020,3002,24,38
30/07/2020,3151,24,39
31/07/2020,3272,27,43
01/08/2020,3396,31,34
02/08/2020,3511,34,34
03/08/2020,3589,37,43
04/08/2020,3669,41,43
05/08/2020,3754,43,44
06/08/2020,3849,44,39
07/08/2020,3938,46,41
08/08/2020,4007,47,45
09/08/2020,4079,51,41
10/08/2020,4148,54,36
11/08/2020,4181,58,32
12/08/2020,4243,63,30
13/08/2020,4312,65,32
14/08/2020,4360,66,30
15/08/2020,4406,68,27
16/08/2020,4480,69,27
17/08/2020,4524,69,29
18/08/2020,4560,70,31
19/08/2020,4586,72,29
20/08/2020,4604,73,31
21/08/2020,4631,75,30
22/08/2020,4657,76,29
23/08/2020,4682,77,26
24/08/2020,4691,77,27
25/08/2020,4710,77,27
26/08/2020,4734,78,27
27/08/2020,4755,79,25
28/08/2020,4768,84,25
29/08/2020,4786,86,23
30/08/2020,4801,88,23
31/08/2020,4810,89,26
01/09/2020,4822,90,25
02/09/2020,4830,93,25
03/09/2020,4838,94,25
04/09/2020,4850,94,26
05/09/2020,4857,94,23
06/09/2020,4878,95,22
07/09/2020,4889,98,20
08/09/2020,4895,99,21
09/09/2020,4901,99,21
10/09/2020,4913,99,21
11/09/2020,4925,99,21
12/09/2020,4938,100,21
13/09/2020,4957,100,21
14/09/2020,4971,101,21
15/09/2020,4975,101,18
16/09/2020,4984,102,16
17/09/2020,4993,102,14
18/09/2020,4996,103,13
19/09/2020,5009,103,13
20/09/2020,5032,103,13
21/09/2020,5038,103,13
22/09/2020,5046,103,13
23/09/2020,5049,103,12
24/09/2020,5056,104,13
25/09/2020,5058,104,12
26/09/2020,5059,105,11
27/09/2020,5065,105,11
28/09/2020,5075,105,11
29/09/2020,5079,105,11
30/09/2020,5087,105,10
01/10/2020,5097,105,10
02/10/2020,5104,105,10
03/10/2020,5108,105,10
04/10/2020,5113,105,10
05/10/2020,5124,105,11
06/10/2020,5132,105,10
07/10/2020,5143,105,10
08/10/2020,5161,105,10
09/10/2020,5169,105,9
10/10/2020,5175,105,8
11/10/2020,5182,105,8
12/10/2020,5193,105,8
13/10/2020,5201,105,10
14/10/2020,5201,105,11
