date,cases,deaths,hospitalcritical
13/01/2020,0,0,0
14/01/2020,0,0,0
15/01/2020,0,0,0
16/01/2020,0,0,0
17/01/2020,0,0,0
18/01/2020,0,0,0
19/01/2020,1,0,0
20/01/2020,1,0,0
21/01/2020,2,0,0
22/01/2020,2,0,0
23/01/2020,2,0,0
24/01/2020,2,0,0
25/01/2020,2,0,0
26/01/2020,2,0,0
27/01/2020,2,0,0
28/01/2020,2,0,0
29/01/2020,2,0,0
30/01/2020,2,0,0
31/01/2020,2,0,0
01/02/2020,2,0,0
02/02/2020,2,0,0
03/02/2020,3,0,0
04/02/2020,3,0,0
05/02/2020,3,0,0
06/02/2020,5,0,0
07/02/2020,5,0,0
08/02/2020,5,0,0
09/02/2020,5,0,0
10/02/2020,5,0,0
11/02/2020,5,0,0
12/02/2020,5,0,0
13/02/2020,6,0,0
14/02/2020,7,0,0
15/02/2020,7,0,0
16/02/2020,7,0,0
17/02/2020,7,0,0
18/02/2020,7,0,0
19/02/2020,7,0,0
20/02/2020,7,0,0
21/02/2020,7,0,0
22/02/2020,7,0,0
23/02/2020,8,0,0
24/02/2020,9,0,0
25/02/2020,10,0,0
26/02/2020,12,2,0
27/02/2020,13,2,0
28/02/2020,15,4,0
29/02/2020,18,5,0
01/03/2020,42,8,0
02/03/2020,72,11,0
03/03/2020,114,14,0
04/03/2020,242,16,0
05/03/2020,307,20,0
06/03/2020,445,26,0
07/03/2020,587,27,0
08/03/2020,757,31,0
09/03/2020,1061,35,0
10/03/2020,1497,37,0
11/03/2020,1915,43,0
12/03/2020,2592,52,0
13/03/2020,3450,57,0
14/03/2020,4476,65,0
15/03/2020,5738,80,0
16/03/2020,7449,102,0
17/03/2020,9577,126,0
18/03/2020,12934,152,0
19/03/2020,17540,203,0
20/03/2020,23640,273,0
21/03/2020,30580,335,0
22/03/2020,39808,480,0
23/03/2020,50998,582,0
24/03/2020,61894,817,0
25/03/2020,74551,1058,167
26/03/2020,92143,1371,258
27/03/2020,111358,1782,293
28/03/2020,131143,2332,390
29/03/2020,150826,2838,433
30/03/2020,171965,3422,449
31/03/2020,196965,4331,506
01/04/2020,223169,5337,561
02/04/2020,251304,6512,576
03/04/2020,283139,7800,623
04/04/2020,316261,9278,656
05/04/2020,342104,10618,650
06/04/2020,370364,11932,2961
07/04/2020,400780,13974,4047
08/04/2020,431744,15973,4142
09/04/2020,466736,18027,5798
10/04/2020,500514,20108,5937
11/04/2020,531837,22187,5986
12/04/2020,560005,23885,5962
13/04/2020,584141,25515,6170
14/04/2020,610084,27871,5981
15/04/2020,639918,30412,6033
16/04/2020,671184,32608,5940
17/04/2020,702684,34724,6098
18/04/2020,730257,36620,5733
19/04/2020,757187,38385,5603
20/04/2020,781563,40199,5569
21/04/2020,808917,42677,5514
22/04/2020,838190,44827,5474
23/04/2020,870128,46633,5463
24/04/2020,901345,48606,5194
25/04/2020,942042,50240,5266
26/04/2020,969366,51452,5119
27/04/2020,991770,52726,4867
28/04/2020,1017002,54804,4760
29/04/2020,1043181,57493,4803
30/04/2020,1073244,59646,4708
01/05/2020,1106124,61458,4712
02/05/2020,1135275,62979,4846
03/05/2020,1161034,64226,4762
04/05/2020,1183140,65209,4852
05/05/2020,1205532,67705,4810
06/05/2020,1230844,69636,4758
07/05/2020,1258072,72368,7067
08/05/2020,1285270,74156,6793
09/05/2020,1310550,75615,6550
10/05/2020,1331662,76642,6392
11/05/2020,1349742,77531,6349
12/05/2020,1372263,79049,6350
13/05/2020,1393744,80778,6164
14/05/2020,1420540,82624,5940
15/05/2020,1445947,84161,5744
16/05/2020,1469782,85410,5532
17/05/2020,1490166,86272,5467
18/05/2020,1510779,87125,5260
19/05/2020,1531479,88452,5032
20/05/2020,1552850,89847,4907
21/05/2020,1579601,91228,4871
22/05/2020,1603728,92514,4714
23/05/2020,1626210,93549,4621
24/05/2020,1645332,94238,4380
25/05/2020,1663875,94794,4232
26/05/2020,1680551,95462,4221
27/05/2020,1699744,96802,4223
28/05/2020,1722588,98037,4079
29/05/2020,1746212,99208,4028
30/05/2020,1769755,100129,4008
31/05/2020,1791449,100783,3669
01/06/2020,1811478,101459,3950
02/06/2020,1831387,102441,3854
03/06/2020,1851551,103414,3754
04/06/2020,1872063,104296,3662
05/06/2020,1895109,105128,3520
06/06/2020,1917778,105837,3476
07/06/2020,1936858,106287,3298
08/06/2020,1953793,106959,3238
09/06/2020,1970726,107853,3088
10/06/2020,1991599,108745,3022
11/06/2020,2013575,109641,2885
12/06/2020,2036727,110407,2738
13/06/2020,2062186,111097,2726
14/06/2020,2083815,111451,2716
15/06/2020,2102051,111834,2636
16/06/2020,2124908,112560,2591
17/06/2020,2149114,113338,2584
